Event Type,COM Personnel?,Date,Latitude,Longitude,Region,Zone,Woreda,Kebele,Town,Injuries,Fatalities,Notes,Merged
Other,NO,2/19/2025,13.18973883,39.21267502,Shewa,,,,Addis Ababa,None,None,"On February 19, 2025, The Tigray Regional Interim Administration and opposition parties have condemned the unjustified use of force by certain elements of the regional security forces in Seharti district of Southeastern zone. the security forces attempted to dismantle the local administrative structures by siding with one faction of the Tigray People’s Liberation Front (TPLF), leading to clashes with residents. Armed personnel fired gunshots to disperse a crowd protesting their interference in local administrative affairs. Several people were injured (about 17) due to gunshots and beatings. Opposition parties have demanded investigations and accountability for the actions of the perpetrators.",Other 2/19/2025
Kidnapping,NO,3/5/2025,11.932842,37.802737,Shewa,,,,Addis Ababa,None,None,"On March 5, 2025, more than 66 drivers kidnapped at Wonji vicinity on their way to Debre Tabor by UAG. Among the Kidnappee 50 of them released after paying ransomed in the range of 10-50 thousand ETB . The rest of the kidnappee has released in free.",Kidnapping 3/5/2025
Murder,NO,3/7/2025,12.31704893,39.61141817,Shewa,,,,Addis Ababa,None,None,"On March 7,2025 Thursday night the tragic incident occurred in Waja Timuga, Raya Alamata district of North Wollo, Amhara region that the Ethiopian government soldiers reportedly executed an Ethiopian Orthodox Tewahedo Church religious leader and five of his students in the Amhara region of Ethiopia. Four others were wounded and taken to the hospital with life-threatening conditions.",Murder 3/7/2025
Other,NO,3/7/2025,9.0579,38.762814,Shewa,,,,Addis Ababa,None,None,"On March 07 ,2025 at 12:10 hr. SD observed and reported that terminated LGF driver reappeared and was heading towards MCAC driving his POV plate # 2-94321AA. He was stopped by LGF guard on post at the drop-off point. This time He had a banner posted on his vehicle front windshield naming and defaming his former bosses. He also fixed three Flags on the roof of his car representing America, Ethiopia and Oromia regional state. Situation was immediately reported to Senior LGF commanders and ARSO. Subject was aggressively explaining as if he was discharged because of racial discrimination. ARSO and LGF Deputy commander showed up and strictly warned him to leave the area and not to appear again. ARSO apparently instructed LGF transfer him to the police in case he returns.",Other 3/7/2025
Murder,NO,3/10/2025,11.67139407,39.75216088,Shewa,,,,Addis Ababa,None,None,"On March 10, 2025, the Fano militia killed Worebabo district administrator Fentaw Kebede, district police commander Addiszemen Fisseha, and a driver in an ambush in South Wollo zone, Amhara region. The attack occurred while the officials were on official duty in the district. South Wollo has been one of the most intense areas of fighting between government forces and the Fano militia since the conflict began in July 2023.",Murder 3/10/2025
Other,NO,3/10/2025,9.48902,38.765557,Shewa,,,,Addis Ababa,Yes,None,"On March 10, 2025 night at 22:38 Mobile patrol reported that Gun fire for unknown reason was heard three (3) times and confirmed that it was inside ENDF defense garage near to Egypt Embassy.",Other 3/10/2025
Murder,NO,3/11/2025,7.216418158,38.92358805,Shewa,,,,Addis Ababa,None,None,"On March 11, 2025, in the Gorka district of the Kore Zone of the Southern Ethiopian Region two people were killed, and one resident was injured in an attack allegedly carried out by “Oromo freedom fighters”. The Peace and Security Office of the Gorka Woreda of the Kore Zone has confirmed that two civilians were killed by militants who crossed the border from the West Guji Zone of the Oromia Regional State. Oromo Liberation Army spokesman Ato Jirga Gudeta denied that his fighters were targeting civilians.",Murder 3/11/2025
Other,NO,3/11/2025,13.24978224,39.51623514,Shewa,,,,Addis Ababa,None,None,"On March 11, 2025 at evening Armed groups of the Tigray People’s Liberation Front (TPLF), led by Debretsion Gebremichael, reportedly opened fire on civilians in the town of Adigudom near Mekele , causing some civilian casualties.",Other 3/11/2025
Murder,NO,3/11/2025,8.99585,38.72731,Shewa,,,,Addis Ababa,None,None,"On March 11,2025 morning at 07:45 hr. MOP heard and reported gunfire while patrolling around ICS (international Community School). Then attempted to find out what was going on. in effect, confirmed that a security guard working at the nearby commercial bank of Ethiopia shot and killed his colleague and finally committed suicide upon himself.",Murder 3/11/2025
Robbery,NO,3/12/2025,8.684793375,39.07195395,Shewa,,,,Addis Ababa,None,None,"On March 11,2025, at approximately 06:45pm an incident of looting occurred on the Addis Ababa Adama expressway involving armed gunmen. Passengers of public minibuses were targeted, and their belongings were stolen. The reason for this armed robbery is still unknown.",Robbery 3/12/2025
Robbery,NO,3/12/2025,11.85664981,38.01550937,Shewa,,,,Addis Ababa,None,None,"On March 12, 2025, around at 11:25 am in Amhara region a public transport bus carrying passengers from Bahir Dar to Dessie town was stopped by gunmen on the Debre Tabor route and robbed 65 phones and 7 laptops from all passengers.",Robbery 3/12/2025
Kidnapping,NO,3/18/2025,12.79929524,39.6443607,Shewa,,,,Addis Ababa,None,None,"On March 18th, 2025 Human Rights First reported receiving information on forced abductions and intimidation in various parts of Tigray. In its latest statement, the group highlighted incidents in the Southern Zone, including the killing of a local militia member and a regional army soldier in Mekhoni town, with another militia member sustaining injuries. Additionally, a young man in Mekelle was reportedly severely beaten. The organization urged all parties to refrain from using force, resolve disputes peacefully and prevent harm to civilians, including arbitrary detention and violence.",Kidnapping 3/18/2025
Kidnapping,NO,3/21/2025,11.41284687,37.15572388,Shewa,,,,Addis Ababa,None,None,"On March 21, 2025, ongoing clashes in Amhara region North Gojjam Zone Merawi city the Fano militants abducted teachers, accusing them of teaching,” and that “they [the militants] took them from their homes and executed them.” Reports confirmed that 11 teachers were killed.",Kidnapping 3/21/2025
Other,NO,3/21/2025,6.007641753,37.64561026,Shewa,,,,Addis Ababa,None,None,"On March 21, 2025, over 30,000 unregistered vehicles without legal license plates have been discovered in the South Ethiopia Region, raising concerns amid fuel shortages at stations. Officials attribute the crisis to illegal fuel trade, unbalanced supply and demand, and a high number of unlicensed vehicles overcrowding traffic.",Other 3/21/2025
Murder,NO,3/26/2025,10.60323994,36.07813456,Shewa,,,,Addis Ababa,None,None,"On March 26, 2025, two individuals were killed in an attack in Dore, Bullen Woreda, Benishangul-Gumuz Region, with another victim’s whereabouts still unknown, raising concerns among residents. Regional security forces reportedly responded, while authorities warned of escalating tension in the area and pledged to bring perpetrators to justice.",Murder 3/26/2025
Robbery,NO,3/27/2025,13.22750417,37.14983548,Shewa,,,,Addis Ababa,None,None,"On March 27, 2025, INGO staff traveling from Humera to Gondar were allegedly robbed at Ashere, Tach Armachiho Woreda, Central Gondar Zone. Armed assailants, identified as an unidentified armed group (UAG), forcibly seized six mobile phones and an undisclosed amount of cash. This incident follows a series of similar attacks recently reported along this route. Additionally, public buses have been targeted, with reports indicating that some travelers sustained gunshot wounds during these assaults.",Robbery 3/27/2025
Murder,NO,3/27/2025,9.496225907,36.81170596,Shewa,,,,Addis Ababa,None,None,"On March 27, 2025, at least 21 people were killed in an attack by gunmen in Abe Dongoro district, Horo Guduru Wollega zone, Oromia region. Among the victims were government security personnel and a 7th-grade student. The gunmen carried out the attack in various localities, and five people were reportedly kidnapped. The Oromo Liberation Army (OLA) has been active in the area, but no group has claimed responsibility for the attack. Residents expressed frustration over the lack of action by security forces despite previous reports of OLA activity in the area",Murder 3/27/2025
Murder,NO,3/31/2025,6.019973219,37.55372996,Shewa,,,,Addis Ababa,None,None,"On March 31, 2025, two children aged four and seven from the same family were brutally murdered in Arbaminch Zuria, Gamo Zone, by suspected militants who set their house on fire. Local authorities arrested one suspect and are still searching for others.",Murder 3/31/2025
Kidnapping,NO,3/31/2025,12.54950957,37.06408365,Shewa,,,,Addis Ababa,None,None,"On March 31, 2025, unidentified armed groups (UAG) allegedly abducted multiple humanitarian workers affiliated with an international NGO in Arsema, Chilga Woreda, along the Gondar–Metema route—a critical corridor linking Ethiopia to Sudan. The personnel were en route to Quara and surrounding areas to support cholera treatment efforts when the abduction occurred. This incident underscores the escalating insecurity in the Central Gondar Zone, with the Gondar–Metema corridor emerging as a high-risk travel route. The area is increasingly targeted by armed actors and opportunistic criminals, posing a significant threat to humanitarian operations and civilian movement.",Kidnapping 3/31/2025
Other,NO,4/1/2025,11.84708768,38.36829138,Shewa,,,,Addis Ababa,None,None,"On April 1, 2025, A fuel tanker parked along a main highway in Ethiopia's Amhara region was found riddled with bullet holes, with fuel leaking onto the ground. The regional government blamed the attack on what it called “extremists,” further alleging that the assailants “robbed” the truck and “abducted” the drivers. According to the authorities, two drivers were taken, while another was “shot and severely injured,” receiving medical care at Gayint Hospital.",Other 4/1/2025
Murder,NO,4/2/2025,11.31668577,37.30034066,Shewa,,,,Addis Ababa,None,None,"On April 2, 2025, Ethiopian government forces have reportedly killed at least 46 civilians in Birakat town, North Mecha, Gojjam area of the Amhara region, Children, women and elderly are among the victims. Also, a priest serving in the local Ethiopian Orthodox Church identified the names of the victims. Government forces reportedly went from home to home, dragged residents to the streets and shot them.  Bodies were reportedly littered on the streets for several hours as government forces remained in the town.",Murder 4/2/2025
Burglary,NO,4/4/2025,8.98993,38.71981,Shewa,,,,Addis Ababa,None,None,"On April 4,2025 at 03:00 AM after midnight, LGF posted at property ID # Oscar 789 reported that there was a burglary attempt that thieves were trying to jump over the fence of the opposite adjacent residence but aborted their attempt because the guard reported the situation to duty MOP. subsequently MOP arrived at post and reported and cooperated with the area police and took the suspects for further investigation as they found them walking on the street.",Burglary 4/4/2025
Murder,NO,4/6/2025,9.806298059,37.0158481,Shewa,,,,Addis Ababa,None,None,"On April 6, gunmen, reportedly crossing from the neighboring Amhara region, killed over 20 people in the Jardega Jarte district of Horo Guduru Wollega zone in Oromia region. The attackers also kidnapped several civilians, demanding a ransom of 1.5 million birr per person. Intense fighting between government forces and the Fano militia has been ongoing in the surrounding districts of Abe Dongoro, Umuru, and Bedeso. Similar attacks in the area earlier this month resulted in additional casualties and abductions",Murder 4/6/2025
Kidnapping,NO,4/7/2025,7.578632378,34.50187963,Shewa,,,,Addis Ababa,None,None,"On April 7, 2025, Murle attackers abducted three children, aged 16, three, and another whose age was not specified, in the Gog Woreda, Anuak Zone. Local police reported that one of the children was found, but the other two remain missing.",Kidnapping 4/7/2025
Arrest,NO,4/14/2025,9.017556183,38.75051785,Shewa,,,,Addis Ababa,None,None,"On April 14, 2025, Addis Ababa police reported the arrest of 1,200 individuals in a recent crackdown on crime. The operation targeted various offenses, including theft and the possession of illegal weapons, aiming to enhance public safety in the capital.",Arrest 4/14/2025
Kidnapping,NO,4/15/2025,5.778939019,39.3054752,Shewa,,,,Addis Ababa,None,None,"On April 15, 2025, An armed group allegedly kidnapped civilians from their homes in the Calo Kebele, Wadera Woreda, Guji Zone.",Kidnapping 4/15/2025
Assault,NO,4/17/2025,9.230309797,35.34988661,Shewa,,,,Addis Ababa,None,None,"On April 17, 2025, OLA fighters reportedly carried out an assault targeting Dilla Administrative Town in the Guliso Woreda, West Wollega Zone.",Assault 4/17/2025
Other,NO,4/22/2025,9.033189,38.73135655,Shewa,,,,Addis Ababa,None,None,"On Tuesday April 22, 2025, Addis Ketema Sub city Police Department announced that police conducted a series theft crime investigations, and it has been confirmed that suspects those involved in criminal activities by changing Mobile phone IME numbers, buying and selling stolen mobile phones and other electronics items. In an organized operation that was carried out in Merkato area specifically in Yirga Haile Shopping Center 90 smartphones with different models, 7 laptops and 2 desktop computers, 14 tablets, 6 hard disks, 1 internet router and various electronic items have been seized along with 22 suspects.",Other 4/22/2025
Robbery,NO,4/24/2025,9.045432,38.765257,Shewa,,,,Addis Ababa,None,None,"On April 24, 2025 at 06:02hrs the spouse of our Senior guard Daniel Nigatu called and reported that her husband Daniel was robbed by unknown people last night April 24,2025 at about 2100hrs.",Robbery 4/24/2025
Kidnapping,NO,4/27/2025,11.21693685,38.31935192,Shewa,,,,Addis Ababa,None,None,"On the morning of April 27, 2025, three employees of a humanitarian organization were allegedly abducted by an unidentified armed group (UAG) in the Gedebye area of Wogera Woreda, South Gondar Zone. The victims were en route from Amba Giorgis town to Debark Woreda, North Gondar Zone, when the abduction occurred. Reports indicate that the kidnappers are demanding a ransom for everyone.",Kidnapping 4/27/2025
